"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Lincoln County, WV"	"54043"	"2007"	"2007"	263	21953	1198.0
	"Lincoln County, WV"	"54043"	"2008"	"2008"	268	21881	1224.8
	"Lincoln County, WV"	"54043"	"2009"	"2009"	264	21794	1211.3
	"Lincoln County, WV"	"54043"	"2010"	"2010"	277	21720	1275.3
	"Lincoln County, WV"	"54043"	"2011"	"2011"	286	21550	1327.1
	"Lincoln County, WV"	"54043"	"2012"	"2012"	245	21627	1132.8
"Total"	"Lincoln County, WV"	"54043"			1857	152589	1217.0
	"Logan County, WV"	"54045"	"2006"	"2006"	507	36440	1391.3
	"Logan County, WV"	"54045"	"2007"	"2007"	484	36443	1328.1
	"Logan County, WV"	"54045"	"2008"	"2008"	498	36548	1362.6
	"Logan County, WV"	"54045"	"2009"	"2009"	508	36645	1386.3
	"Logan County, WV"	"54045"	"2010"	"2010"	483	36743	1314.5
	"Logan County, WV"	"54045"	"2011"	"2011"	549	36457	1505.9
	"Logan County, WV"	"54045"	"2012"	"2012"	515	36168	1423.9
"Total"	"Logan County, WV"	"54045"			3544	255444	1387.4
	"McDowell County, WV"	"54047"	"2006"	"2006"	380	23199	1638.0
	"McDowell County, WV"	"54047"	"2007"	"2007"	374	22746	1644.2
	"McDowell County, WV"	"54047"	"2008"	"2008"	374	22494	1662.7
	"McDowell County, WV"	"54047"	"2009"	"2009"	359	22276	1611.6
	"McDowell County, WV"	"54047"	"2010"	"2010"	364	22113	1646.1
	"McDowell County, WV"	"54047"	"2011"	"2011"	381	21729	1753.4
	"McDowell County, WV"	"54047"	"2012"	"2012"	399	21326	1871.0
"Total"	"McDowell County, WV"	"54047"			2631	155883	1687.8
	"Marion County, WV"	"54049"	"2006"	"2006"	670	56284	1190.4
	"Marion County, WV"	"54049"	"2007"	"2007"	695	56445	1231.3
	"Marion County, WV"	"54049"	"2008"	"2008"	730	56141	1300.3
	"Marion County, WV"	"54049"	"2009"	"2009"	687	56426	1217.5
	"Marion County, WV"	"54049"	"2010"	"2010"	641	56418	1136.2
	"Marion County, WV"	"54049"	"2011"	"2011"	643	56586	1136.3
	"Marion County, WV"	"54049"	"2012"	"2012"	657	56678	1159.2
"Total"	"Marion County, WV"	"54049"			4723	394978	1195.8
	"Marshall County, WV"	"54051"	"2006"	"2006"	388	33814	1147.5
	"Marshall County, WV"	"54051"	"2007"	"2007"	373	33583	1110.7
	"Marshall County, WV"	"54051"	"2008"	"2008"	406	33248	1221.1
	"Marshall County, WV"	"54051"	"2009"	"2009"	389	33116	1174.7
	"Marshall County, WV"	"54051"	"2010"	"2010"	387	33107	1168.9
	"Marshall County, WV"	"54051"	"2011"	"2011"	408	32800	1243.9
	"Marshall County, WV"	"54051"	"2012"	"2012"	437	32674	1337.5
"Total"	"Marshall County, WV"	"54051"			2788	232342	1200.0
	"Mason County, WV"	"54053"	"2006"	"2006"	321	26648	1204.6
	"Mason County, WV"	"54053"	"2007"	"2007"	295	26738	1103.3
	"Mason County, WV"	"54053"	"2008"	"2008"	311	27097	1147.7
	"Mason County, WV"	"54053"	"2009"	"2009"	314	27309	1149.8
	"Mason County, WV"	"54053"	"2010"	"2010"	359	27324	1313.9
	"Mason County, WV"	"54053"	"2011"	"2011"	325	27298	1190.6
	"Mason County, WV"	"54053"	"2012"	"2012"	326	27179	1199.5
"Total"	"Mason County, WV"	"54053"			2251	189593	1187.3
	"Mercer County, WV"	"54055"	"2006"	"2006"	824	61297	1344.3
	"Mercer County, WV"	"54055"	"2007"	"2007"	900	61615	1460.7
	"Mercer County, WV"	"54055"	"2008"	"2008"	848	61848	1371.1
	"Mercer County, WV"	"54055"	"2009"	"2009"	894	62177	1437.8
	"Mercer County, WV"	"54055"	"2010"	"2010"	863	62264	1386.0
	"Mercer County, WV"	"54055"	"2011"	"2011"	946	62465	1514.4
	"Mercer County, WV"	"54055"	"2012"	"2012"	912	62523	1458.7
"Total"	"Mercer County, WV"	"54055"			6187	434189	1425.0
	"Mineral County, WV"	"54057"	"2006"	"2006"	321	27324	1174.8
	"Mineral County, WV"	"54057"	"2007"	"2007"	277	27532	1006.1
	"Mineral County, WV"	"54057"	"2008"	"2008"	287	27824	1031.5
	"Mineral County, WV"	"54057"	"2009"	"2009"	331	28080	1178.8
	"Mineral County, WV"	"54057"	"2010"	"2010"	327	28212	1159.1
	"Mineral County, WV"	"54057"	"2011"	"2011"	319	28192	1131.5
	"Mineral County, WV"	"54057"	"2012"	"2012"	310	27956	1108.9
"Total"	"Mineral County, WV"	"54057"			2172	195120	1113.2
	"Mingo County, WV"	"54059"	"2006"	"2006"	392	27054	1449.0
	"Mingo County, WV"	"54059"	"2007"	"2007"	353	27145	1300.4
	"Mingo County, WV"	"54059"	"2008"	"2008"	378	26850	1407.8
	"Mingo County, WV"	"54059"	"2009"	"2009"	369	26943	1369.6
	"Mingo County, WV"	"54059"	"2010"	"2010"	360	26839	1341.3
	"Mingo County, WV"	"54059"	"2011"	"2011"	369	26563	1389.2
	"Mingo County, WV"	"54059"	"2012"	"2012"	349	26103	1337.0
"Total"	"Mingo County, WV"	"54059"			2570	187497	1370.7
	"Monongalia County, WV"	"54061"	"2006"	"2006"	599	89656	668.1
	"Monongalia County, WV"	"54061"	"2007"	"2007"	630	90764	694.1
	"Monongalia County, WV"	"54061"	"2008"	"2008"	634	92200	687.6
	"Monongalia County, WV"	"54061"	"2009"	"2009"	614	94165	652.0
	"Monongalia County, WV"	"54061"	"2010"	"2010"	617	96189	641.4
	"Monongalia County, WV"	"54061"	"2011"	"2011"	650	98528	659.7
	"Monongalia County, WV"	"54061"	"2012"	"2012"	651	100332	648.8
"Total"	"Monongalia County, WV"	"54061"			4395	661834	664.1
	"Monroe County, WV"	"54063"	"2006"	"2006"	145	13382	1083.5
	"Monroe County, WV"	"54063"	"2007"	"2007"	165	13452	1226.6
	"Monroe County, WV"	"54063"	"2008"	"2008"	165	13607	1212.6
	"Monroe County, WV"	"54063"	"2009"	"2009"	153	13543	1129.7
	"Monroe County, WV"	"54063"	"2010"	"2010"	175	13502	1296.1
	"Monroe County, WV"	"54063"	"2011"	"2011"	173	13534	1278.3
	"Monroe County, WV"	"54063"	"2012"	"2012"	166	13463	1233.0
"Total"	"Monroe County, WV"	"54063"			1142	94483	1208.7
	"Morgan County, WV"	"54065"	"2006"	"2006"	183	17038	1074.1
	"Morgan County, WV"	"54065"	"2007"	"2007"	181	17410	1039.6
	"Morgan County, WV"	"54065"	"2008"	"2008"	196	17520	1118.7
	"Morgan County, WV"	"54065"	"2009"	"2009"	194	17580	1103.5
	"Morgan County, WV"	"54065"	"2010"	"2010"	212	17541	1208.6
	"Morgan County, WV"	"54065"	"2011"	"2011"	194	17535	1106.4
	"Morgan County, WV"	"54065"	"2012"	"2012"	190	17471	1087.5
"Total"	"Morgan County, WV"	"54065"			1350	122095	1105.7
